"citizen","agedef","age","unit","sex","geo","time","values"
"UK","COMPLET","Y15-64","NR","F","ES",2019-01-01,72
"UK","COMPLET","Y15-64","NR","F","FI",2019-01-01,47
"UK","COMPLET","Y15-64","NR","F","IE",2019-01-01,222
"UK","COMPLET","Y15-64","NR","F","IS",2019-01-01,4
"UK","COMPLET","Y15-64","NR","F","LI",2019-01-01,0
"UK","COMPLET","Y15-64","NR","F","LT",2019-01-01,0
"UK","COMPLET","Y15-64","NR","F","LU",2019-01-01,145
"UK","COMPLET","Y15-64","NR","F","MT",2019-01-01,77
"UK","COMPLET","Y15-64","NR","F","NO",2019-01-01,2
"UK","COMPLET","Y15-64","NR","F","PL",2019-01-01,6
"UK","COMPLET","Y15-64","NR","F","PT",2019-01-01,38
"UK","COMPLET","Y15-64","NR","F","SE",2019-01-01,1066
"UK","COMPLET","Y15-64","NR","F","SI",2019-01-01,1
"UK","COMPLET","Y15-64","NR","F","UK",2019-01-01,0
"UK","COMPLET","Y15-64","NR","M","AT",2019-01-01,33
"UK","COMPLET","Y15-64","NR","M","BE",2019-01-01,572
"UK","COMPLET","Y15-64","NR","M","BG",2019-01-01,0
"UK","COMPLET","Y15-64","NR","M","DE",2019-01-01,6275
"UK","COMPLET","Y15-64","NR","M","ES",2019-01-01,98
"UK","COMPLET","Y15-64","NR","M","FI",2019-01-01,133
"UK","COMPLET","Y15-64","NR","M","IE",2019-01-01,261
"UK","COMPLET","Y15-64","NR","M","IS",2019-01-01,3
"UK","COMPLET","Y15-64","NR","M","LI",2019-01-01,1
"UK","COMPLET","Y15-64","NR","M","LT",2019-01-01,0
"UK","COMPLET","Y15-64","NR","M","LU",2019-01-01,160
"UK","COMPLET","Y15-64","NR","M","MT",2019-01-01,57
"UK","COMPLET","Y15-64","NR","M","NO",2019-01-01,8
"UK","COMPLET","Y15-64","NR","M","PL",2019-01-01,24
"UK","COMPLET","Y15-64","NR","M","PT",2019-01-01,39
"UK","COMPLET","Y15-64","NR","M","SE",2019-01-01,2738
"UK","COMPLET","Y15-64","NR","M","SI",2019-01-01,4
"UK","COMPLET","Y15-64","NR","M","UK",2019-01-01,0
"UK","COMPLET","Y15-64","NR","T","AT",2019-01-01,66
"UK","COMPLET","Y15-64","NR","T","BE",2019-01-01,1080
"UK","COMPLET","Y15-64","NR","T","BG",2019-01-01,1
"UK","COMPLET","Y15-64","NR","T","DE",2019-01-01,10080
"UK","COMPLET","Y15-64","NR","T","ES",2019-01-01,170
"UK","COMPLET","Y15-64","NR","T","FI",2019-01-01,180
"UK","COMPLET","Y15-64","NR","T","IE",2019-01-01,483
"UK","COMPLET","Y15-64","NR","T","IS",2019-01-01,7
"UK","COMPLET","Y15-64","NR","T","LI",2019-01-01,1
"UK","COMPLET","Y15-64","NR","T","LT",2019-01-01,0
"UK","COMPLET","Y15-64","NR","T","LU",2019-01-01,305
"UK","COMPLET","Y15-64","NR","T","MT",2019-01-01,134
"UK","COMPLET","Y15-64","NR","T","NO",2019-01-01,10
"UK","COMPLET","Y15-64","NR","T","PL",2019-01-01,30
"UK","COMPLET","Y15-64","NR","T","PT",2019-01-01,77
"UK","COMPLET","Y15-64","NR","T","SE",2019-01-01,3804
"UK","COMPLET","Y15-64","NR","T","SI",2019-01-01,5
"UK","COMPLET","Y15-64","NR","T","UK",2019-01-01,0
"UK","COMPLET","Y20-24","NR","F","AT",2019-01-01,1
